asset,session_date,weekday,status,raw_rows,projected_exact_duplicates,projected_conflicting_ids,unorderable_rows,later_projected_versions_ignored,valid_regular_rows,available_by_close_minus_120s_rows,valid_distinct_expiries_full_regular_session,distinct_expiries_by_close_minus_120s,expiry_dates,expiry_count_monday,expiry_count_tuesday,expiry_count_wednesday,expiry_count_thursday,expiry_count_friday,expiry_count_saturday,expiry_count_sunday,zero_dte_trade_rows,zero_dte_distinct_contracts_day_union,first_mon_wed_available_ny
TSLA,2026-01-30,Friday,VERIFIED_LOCAL,680498,0,0,0,0,669130,665681,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-03-19;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,360621,131,2026-01-30T09:30:00.097402-05:00
AAPL,2026-02-02,Monday,VERIFIED_LOCAL,254088,0,0,0,0,192693,189948,25,25,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,2,2,19,0,0,13854,45,2026-02-02T09:30:00.207519-05:00
AMZN,2026-02-02,Monday,VERIFIED_LOCAL,107253,0,0,0,0,82300,81455,26,26,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,3038,42,2026-02-02T09:30:00.264063-05:00
META,2026-02-02,Monday,VERIFIED_LOCAL,127147,0,0,0,0,88682,88016,26,26,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,5959,123,2026-02-02T09:30:01.272911-05:00
MSFT,2026-02-02,Monday,VERIFIED_LOCAL,146946,0,0,0,0,113343,112022,26,26,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-03-19;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,4347,68,2026-02-02T09:30:00.274174-05:00
NVDA,2026-02-02,Monday,VERIFIED_LOCAL,285909,0,0,0,0,238150,235117,25,25,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,2,2,19,0,0,34628,46,2026-02-02T09:30:00.101126-05:00
TSLA,2026-02-02,Monday,VERIFIED_LOCAL,438074,0,0,0,0,431952,429128,26,26,2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-03-19;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,177129,93,2026-02-02T09:30:00.092348-05:00
AAPL,2026-02-03,Tuesday,VERIFIED_LOCAL,173001,0,0,0,0,170604,169776,25,25,2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-18;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,1,0,3,2,19,0,0,0,0,2026-02-03T09:30:00.245285-05:00
AMZN,2026-02-03,Tuesday,VERIFIED_LOCAL,113006,0,0,0,0,110741,110053,26,26,2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-18;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,1,0,3,2,20,0,0,0,0,2026-02-03T09:30:00.353567-05:00
META,2026-02-03,Tuesday,VERIFIED_LOCAL,114698,0,0,0,0,112266,111542,26,26,2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-18;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,1,0,3,2,20,0,0,0,0,2026-02-03T09:30:00.777869-05:00
