asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
MSFT,2024-10-01,65,0,0,0,0
NVDA,2024-10-01,65,0,0,0,0
TSLA,2024-10-01,65,0,0,0,0
AAPL,2024-10-02,65,0,0,0,0
AMZN,2024-10-02,65,0,0,0,0
META,2024-10-02,65,0,0,0,0
MSFT,2024-10-02,65,0,0,0,0
NVDA,2024-10-02,65,0,0,0,0
TSLA,2024-10-02,65,0,0,0,0
AAPL,2024-10-03,65,0,0,0,0
AMZN,2024-10-03,65,0,0,0,0
META,2024-10-03,65,0,0,0,0
MSFT,2024-10-03,65,0,0,0,0
NVDA,2024-10-03,65,0,0,0,0
TSLA,2024-10-03,65,0,0,0,0
AAPL,2024-10-04,65,0,0,0,0
AMZN,2024-10-04,65,0,0,0,0
META,2024-10-04,65,0,0,0,0
MSFT,2024-10-04,65,0,0,0,0
NVDA,2024-10-04,65,0,0,0,0
TSLA,2024-10-04,65,0,0,0,0
AAPL,2024-10-07,65,0,0,0,0
AMZN,2024-10-07,65,0,0,0,0
META,2024-10-07,65,0,0,0,0
MSFT,2024-10-07,65,0,0,0,0
NVDA,2024-10-07,65,0,0,0,0
TSLA,2024-10-07,65,0,0,0,0
AAPL,2024-10-08,65,0,0,0,0
AMZN,2024-10-08,65,0,0,0,0
META,2024-10-08,65,0,0,0,0
MSFT,2024-10-08,65,0,0,0,0
NVDA,2024-10-08,65,0,0,0,0
TSLA,2024-10-08,65,0,0,0,0
AAPL,2024-10-09,65,0,0,0,0
AMZN,2024-10-09,65,0,0,0,0
META,2024-10-09,65,0,0,0,0
MSFT,2024-10-09,65,0,0,0,0
NVDA,2024-10-09,65,0,0,0,0
TSLA,2024-10-09,65,0,0,0,0
AAPL,2024-10-10,65,0,0,0,0
AMZN,2024-10-10,65,0,0,0,0
META,2024-10-10,65,0,0,0,0
MSFT,2024-10-10,65,0,0,0,0
NVDA,2024-10-10,65,0,0,0,0
TSLA,2024-10-10,65,0,0,0,0
AAPL,2024-10-11,65,0,0,0,0
AMZN,2024-10-11,65,0,0,0,0
META,2024-10-11,65,0,0,0,0
MSFT,2024-10-11,65,0,0,0,0
NVDA,2024-10-11,65,0,0,0,0
TSLA,2024-10-11,65,0,0,0,0
AAPL,2024-10-14,65,0,0,0,0
AMZN,2024-10-14,65,0,0,0,0
META,2024-10-14,65,0,0,0,0
MSFT,2024-10-14,65,0,0,0,0
NVDA,2024-10-14,65,0,0,0,0
TSLA,2024-10-14,65,0,0,0,0
AAPL,2024-10-15,65,0,0,0,0
AMZN,2024-10-15,65,0,0,0,0
META,2024-10-15,65,0,0,0,0
MSFT,2024-10-15,65,0,0,0,0
NVDA,2024-10-15,65,0,0,0,0
TSLA,2024-10-15,65,0,0,0,0
AAPL,2024-10-16,65,0,0,0,0
AMZN,2024-10-16,65,0,0,0,0
META,2024-10-16,65,0,0,0,0
MSFT,2024-10-16,65,0,0,0,0
NVDA,2024-10-16,65,0,0,0,0
TSLA,2024-10-16,65,0,0,0,0
AAPL,2024-10-17,65,0,0,0,0
AMZN,2024-10-17,65,0,0,0,0
META,2024-10-17,65,0,0,0,0
MSFT,2024-10-17,65,0,0,0,0
NVDA,2024-10-17,65,0,0,0,0
TSLA,2024-10-17,65,0,0,0,0
AAPL,2024-10-18,65,0,0,0,0
AMZN,2024-10-18,65,0,0,0,0
META,2024-10-18,65,0,0,0,0
MSFT,2024-10-18,65,0,0,0,0
NVDA,2024-10-18,65,0,0,0,0
TSLA,2024-10-18,65,0,0,0,0
AAPL,2024-10-21,65,0,0,0,0
AMZN,2024-10-21,65,0,0,0,0
META,2024-10-21,65,0,0,0,0
MSFT,2024-10-21,65,0,0,0,0
NVDA,2024-10-21,65,0,0,0,0
TSLA,2024-10-21,65,0,0,0,0
AAPL,2024-10-22,65,0,0,0,0
AMZN,2024-10-22,65,0,0,0,0
META,2024-10-22,65,0,0,0,0
MSFT,2024-10-22,65,0,0,0,0
NVDA,2024-10-22,65,0,0,0,0
TSLA,2024-10-22,65,0,0,0,0
AAPL,2024-10-23,65,0,0,0,0
AMZN,2024-10-23,65,0,0,0,0
META,2024-10-23,65,0,0,0,0
MSFT,2024-10-23,65,0,0,0,0
NVDA,2024-10-23,65,0,0,0,0
TSLA,2024-10-23,65,0,0,0,0
AAPL,2024-10-24,65,0,0,0,0
AMZN,2024-10-24,65,0,0,0,0
META,2024-10-24,65,0,0,0,0
MSFT,2024-10-24,65,0,0,0,0
NVDA,2024-10-24,65,0,0,0,0
TSLA,2024-10-24,65,0,0,0,0
AAPL,2024-10-25,65,0,0,0,0
AMZN,2024-10-25,65,0,0,0,0
META,2024-10-25,65,0,0,0,0
MSFT,2024-10-25,65,0,0,0,0
NVDA,2024-10-25,65,0,0,0,0
TSLA,2024-10-25,65,0,0,0,0
AAPL,2024-10-28,65,0,0,0,0
AMZN,2024-10-28,65,0,0,0,0
