horizon_minutes,window,B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
15,confirmation,-0.022869477571536734,-1,-0.015500576858882509,-1,log_ridge_harq,0.47935999167323656,0.5022294692447733,0.5177300461036558,2,B1,2026-08-17
15,confirmation,-0.00016761815952226478,-1,0.005681594870961926,1,log_ridge_harq,0.2305576202260238,0.23072523838554607,0.22504364351458414,3,B1,2026-08-10
15,confirmation,0.0044711590065495965,1,0.0045875858375798995,1,log_ridge_harq,0.22953560319698374,0.22506444419043414,0.22047685835285424,4,B1,2026-08-25
15,confirmation,0.007265322291884702,1,-0.0013277133670120955,-1,log_ridge_harq,0.22140424951558124,0.21413892722369654,0.21546664059070864,5,B1,2026-08-05
15,confirmation,0.0010792965530838639,1,0.0052642458945754145,1,log_ridge_harq,0.2111765654837364,0.21009726893065253,0.20483302303607712,6,B1,2026-08-13
15,confirmation,0.000769012198904212,1,-0.0011059622160617122,-1,log_ridge_harq,0.1714459344886052,0.170676922289701,0.1717828845057627,7,B1,2026-08-11
15,confirmation,-0.0002600854077668413,-1,0.003031526254072714,1,log_ridge_harq,0.1699076872458715,0.17016777265363833,0.16713624639956562,8,B1,2026-08-27
15,confirmation,-0.00198664045483421,-1,-0.0018726721354410947,-1,log_ridge_harq,0.16481638930662879,0.166803029761463,0.1686757018969041,9,B1,2026-08-20
15,confirmation,-0.00038666166564940707,-1,0.00033911118449983513,1,log_ridge_harq,0.16563074949683398,0.1660174111624834,0.16567829997798356,10,B1,2026-08-19
15,confirmation,-0.006979076091990333,-1,0.11624790425816478,1,log_ridge_harq,1.7215321695790584,1.7285112456710487,1.612263341412884,1,B2,2026-08-31
15,confirmation,-0.022869477571536734,-1,-0.015500576858882509,-1,log_ridge_harq,0.47935999167323656,0.5022294692447733,0.5177300461036558,2,B2,2026-08-17
15,confirmation,-0.00016761815952226478,-1,0.005681594870961926,1,log_ridge_harq,0.2305576202260238,0.23072523838554607,0.22504364351458414,3,B2,2026-08-10
15,confirmation,0.0044711590065495965,1,0.0045875858375798995,1,log_ridge_harq,0.22953560319698374,0.22506444419043414,0.22047685835285424,4,B2,2026-08-25
15,confirmation,0.007265322291884702,1,-0.0013277133670120955,-1,log_ridge_harq,0.22140424951558124,0.21413892722369654,0.21546664059070864,5,B2,2026-08-05
15,confirmation,0.0010792965530838639,1,0.0052642458945754145,1,log_ridge_harq,0.2111765654837364,0.21009726893065253,0.20483302303607712,6,B2,2026-08-13
15,confirmation,0.000769012198904212,1,-0.0011059622160617122,-1,log_ridge_harq,0.1714459344886052,0.170676922289701,0.1717828845057627,7,B2,2026-08-11
15,confirmation,0.00961501493740674,1,-0.004777076979710804,-1,log_ridge_harq,0.17419780068830706,0.16458278575090032,0.16935986273061113,8,B2,2026-09-04
