horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,b2_5m_contract_entropy,feature,raw,419,0.018701634634089238,0.02025996193617768,0.018701634634089238,0.002795550603649943,0.039051049923074996,419,0,0,419,1.0,0.0
5,primary,b2_5m_contracts,feature,log,419,0.06293715237513486,0.04272839817086425,0.06443992824379244,-0.014760233721712365,0.2125283166396046,377,42,0,419,0.8997613365155132,0.10023866348448687
5,primary,b2_5m_d_iv,feature,signed,419,-0.0006842915848454571,0.0007873264064516954,0.0024844741834049258,-0.008735258267169452,0.0031431213170357197,237,182,0,419,0.5656324582338902,0.4343675417661098
5,primary,b2_5m_d_mid_rel,feature,signed,419,0.0031790476137157687,0.0033280069980022777,0.0032416391447878537,-0.0017099918334860806,0.005884975366461046,401,18,0,419,0.9570405727923628,0.04295942720763723
5,primary,b2_5m_d_spread,feature,signed,419,0.007307784463291793,0.00848645659082257,0.007847308415157959,-0.0068435193611520815,0.01486076910218606,384,35,0,419,0.9164677804295943,0.08353221957040573
5,primary,b2_5m_decay_intensity_innovation,feature,signed,419,-0.0033082879031749723,-0.004029372213208301,0.00433007253161935,-0.010118757626658122,0.008012157785248908,42,377,0,419,0.10023866348448687,0.8997613365155132
5,primary,b2_5m_decay_intensity_last,feature,log,419,0.09845018491110566,0.05602677960894915,0.09845018491110566,0.0,0.30226969346968535,222,0,197,222,0.5298329355608592,0.0
5,primary,b2_5m_delta_flow,feature,signed,419,-0.004941776747211553,-0.004582337943928757,0.004941776747211553,-0.017384842143027504,-0.001387540509717777,0,419,0,419,0.0,1.0
5,primary,b2_5m_expiry_hhi,feature,raw,419,-0.00454270777093584,-0.005076381956329319,0.0049081343428643105,-0.010767061466609098,0.00686222634727586,39,380,0,419,0.09307875894988067,0.9069212410501193
5,primary,b2_5m_gamma_flow,feature,signed,419,-0.002944181690154532,-0.0030805248031890017,0.003471338766308544,-0.009241677292121189,0.010196600078702444,36,383,0,419,0.08591885441527446,0.9140811455847255
5,primary,b2_5m_interarrival_cv,feature,raw,419,-0.01192078776909147,-0.013585025628563256,0.012565164628026686,-0.022933798975101834,0.008022319926087804,20,399,0,419,0.0477326968973747,0.9522673031026253
5,primary,b2_5m_multileg_premium_share,feature,raw,419,0.004271782966629821,0.003029333058966733,0.004288786926079906,-0.0028066504717243783,0.013470497891820058,417,2,0,419,0.9952267303102625,0.00477326968973747
5,primary,b2_5m_multileg_size_share,feature,raw,419,-0.0025192173572669194,-0.001274868324050931,0.0027186119959506506,-0.010458870108720807,0.004211696673646157,37,382,0,419,0.0883054892601432,0.9116945107398569
5,primary,b2_5m_otm_premium_share,feature,raw,419,-2.298537328099019e-05,4.226612837348873e-05,0.0020216627960926406,-0.005991826024953099,0.006453233965723514,211,208,0,419,0.5035799522673031,0.4964200477326969
5,primary,b2_5m_passive_premium_share,feature,raw,419,-0.15471017709457438,-0.00976923086566467,0.18762930361279095,-3.114700280912762,1.4979582434284335,15,402,2,417,0.03579952267303103,0.9594272076372315
5,primary,b2_5m_premium,feature,log,419,0.030552135896204976,0.03006097792645957,0.030552135896204976,0.0029794856131372866,0.06238357495840265,419,0,0,419,1.0,0.0
5,primary,b2_5m_rate_per_second,feature,log,419,0.03711746076209281,0.03557331487871401,0.03765989176850057,-0.011321189749050865,0.11034498354794693,344,22,53,366,0.8210023866348448,0.05250596658711217
5,primary,b2_5m_sell_premium_share,feature,raw,419,-0.11787463424044607,-0.003113460777571485,0.1463358535965796,-2.511323350279361,1.2062991108050622,142,277,0,419,0.33890214797136037,0.6610978520286396
5,primary,b2_5m_size,feature,log,419,-0.015471889166593021,-0.018495318060665934,0.02166848176811038,-0.06218214369378953,0.03189129909479389,134,285,0,419,0.3198090692124105,0.6801909307875895
5,primary,b2_5m_strike_hhi,feature,raw,419,0.013142291457699294,0.012077203798290127,0.01324353121189467,-0.004938977376977289,0.025483750626014025,412,7,0,419,0.9832935560859188,0.016706443914081145
5,primary,b2_5m_sweep_premium_share,feature,raw,419,0.0010994734740534706,0.001141581099457114,0.0024545111408119766,-0.005963244854439809,0.005169495534842115,255,164,0,419,0.6085918854415274,0.3914081145584726
5,primary,b2_5m_trades,feature,log,419,0.003899935804587802,0.0,0.004039535031503821,-0.011532394945428587,0.06857885135794875,49,4,366,53,0.11694510739856802,0.00954653937947494
5,primary,b2_5m_vega_flow,feature,signed,419,-0.0006037431968873166,0.0002297049061343173,0.0025555277947040766,-0.006334321395378682,0.00553909029059843,223,196,0,419,0.5322195704057279,0.4677804295942721
5,primary,b2_5m_vega_flow_abs,feature,log,419,0.026046134359825324,0.020444703146628697,0.02606745316999267,-0.001847083796066013,0.07054998193281331,415,4,0,419,0.9904534606205251,0.00954653937947494
5,primary,b2_5m_vega_flow_call,feature,signed,419,-0.0031299409297064237,-0.003506343811611946,0.0035700078905929423,-0.006766940959949405,0.006539472493556826,22,397,0,419,0.05250596658711217,0.9474940334128878
5,primary,b2_5m_vega_flow_long_dte,feature,signed,419,0.0023182301807737763,0.002461937780914598,0.0024925905683736284,-0.004778517595679738,0.005797470808131276,398,21,0,419,0.9498806682577565,0.050119331742243436
5,primary,b2_5m_vega_flow_put,feature,signed,419,0.002195506789421313,0.0024084660347853115,0.0025592297327319607,-0.004687444642416915,0.0055403857353287225,367,52,0,419,0.8758949880668258,0.12410501193317422
5,primary,b2_5m_vega_flow_short_dte,feature,signed,419,0.0006269911317073508,0.001444365214509917,0.002277956378209001,-0.015500966166068492,0.005478472472121087,263,156,0,419,0.6276849642004774,0.3723150357995227
5,primary,b2_5m_window_empty,feature,raw,419,0.05872401994838855,0.0,0.05874545357780241,-0.0044903453622022116,0.4442672939765719,114,1,304,115,0.2720763723150358,0.002386634844868735
5,primary,b2_5m_zero_dte_premium_share,feature,raw,419,0.006440597226279695,0.0068946574548261605,0.006590175967583063,-0.0030803049272973,0.01715296373399723,391,28,0,419,0.9331742243436754,0.06682577565632458
5,primary,b2_5m_zero_dte_signed_premium,feature,signed,419,-0.0001589439219352387,-0.00037304180277114145,0.0015311299009624323,-0.0030886011471465196,0.007936489053306498,173,246,0,419,0.4128878281622912,0.5871121718377088
5,primary,b2_5m_zero_dte_trade_share,feature,raw,419,-0.016618749990606897,-0.018919365975988645,0.017464462584838813,-0.035055563461335155,0.011640193240896112,29,390,0,419,0.06921241050119331,0.9307875894988067
5,primary,day_of_week,feature,raw,419,0.030103659986335515,0.03198712855584795,0.030103659986335515,0.0034481343875423665,0.0445027824568536,419,0,0,419,1.0,0.0
5,primary,dollar_volume_30,feature,log,419,0.11512077341392854,0.11152929749501507,0.11512077341392854,0.016563342154943487,0.2821538596292349,419,0,0,419,1.0,0.0
5,primary,intercept,intercept,identity,419,-13.48202399425786,-13.498473084852508,13.48202399425786,-13.656208600221543,-13.267389961110874,0,419,0,419,0.0,1.0
5,primary,jump_back_30,feature,log,419,0.003473226878096809,0.0036898533323316655,0.003682246727392763,-0.0035029131830428425,0.007875648072327985,381,38,0,419,0.9093078758949881,0.09069212410501193
5,primary,log_rv_30m,feature,raw,419,0.19652245475896768,0.0,0.19652245475896768,0.0,1.115348430619772,181,0,238,181,0.431980906921241,0.0
5,primary,log_rv_day,feature,raw,419,0.022550174743509628,0.031114435209860777,0.022550174743509628,0.0,0.06725014371740687,210,0,209,210,0.5011933174224343,0.0
5,primary,log_rv_session,feature,raw,419,0.14209216705553418,0.20455796401128407,0.14209216705553418,0.0,0.2699389095556944,280,0,139,280,0.6682577565632458,0.0
5,primary,log_rv_week,feature,raw,419,0.02054512253417526,0.014257222108794175,0.02054512253417526,0.0,0.05204336562085787,218,0,201,218,0.5202863961813843,0.0
5,primary,minute_fraction,feature,raw,419,-0.07733687346776336,0.0,0.07733687346776336,-0.3377278775340369,0.0,0,168,251,168,0.0,0.4009546539379475
5,primary,minute_fraction_sq,feature,raw,419,0.11614565472188307,0.12407694761680685,0.11679111648882501,-0.02699970843452748,0.19443102581712207,404,15,0,419,0.964200477326969,0.03579952267303103
5,primary,minutes_since_open,feature,raw,419,-0.118005237995047,-0.1580092996891994,0.118005237995047,-0.34326122115582364,0.0,0,245,174,245,0.0,0.5847255369928401
5,primary,minutes_to_close,feature,raw,419,0.027378191406465496,0.02524841878612429,0.02772509973012498,-0.01384498764530798,0.18941450369036944,395,6,18,401,0.9427207637231504,0.014319809069212411
5,primary,parkinson_30,feature,log,419,0.5125957638892537,0.5652043928211672,0.5125957638892537,0.10225626450023996,0.6067381652125593,419,0,0,419,1.0,0.0
5,primary,presence:b1_butterfly_25,presence,finite_presence_binary,419,-0.000842241634722078,0.0,0.000842241634722078,-0.01409515759325999,0.0,0,46,373,46,0.0,0.10978520286396182
5,primary,presence:b1_iv_14d,presence,finite_presence_binary,419,-0.006267549723986592,0.0,0.006680721710247409,-0.23858392695444589,0.03656471173556188,3,15,401,18,0.007159904534606206,0.03579952267303103
5,primary,presence:b1_iv_30d,presence,finite_presence_binary,419,-0.0008033475625958293,0.0,0.0021261563300049506,-0.2389959043837114,0.041757099016547755,8,5,406,13,0.01909307875894988,0.011933174224343675
