horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,presence:rp4_iv_dte_0_1_m_gt110,presence,finite_presence_binary,25,0.0110863985621444,0.011111746005762,0.0110863985621444,0.0099655578731569,0.0119463344912945,25,0,0,25,1.0,0.0
5,confirmation,presence:rp4_iv_dte_0_1_m_lt090,presence,finite_presence_binary,25,0.0045249607887231,0.0044902079255289,0.0045249607887231,0.0040806564223972,0.0051095431357252,25,0,0,25,1.0,0.0
5,confirmation,presence:rp4_iv_dte_2_7_m_090_097,presence,finite_presence_binary,25,0.0119707950954609,0.0109866863473078,0.0119825156765981,-0.0001465072642148,0.0175243933233253,24,1,0,25,0.96,0.04
5,confirmation,presence:rp4_iv_dte_2_7_m_097_103,presence,finite_presence_binary,25,-0.0150299881386964,-0.0136657426478635,0.0150299881386964,-0.0221387482741881,-0.004354126629702,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_2_7_m_103_110,presence,finite_presence_binary,25,0.0049569468004878,0.0045074279731471,0.0049569468004878,0.0037376826548037,0.0076585898026441,25,0,0,25,1.0,0.0
5,confirmation,presence:rp4_iv_dte_2_7_m_gt110,presence,finite_presence_binary,25,-0.0035325100791981,-0.0036155757286324,0.0035325100791981,-0.0043712716501171,-0.0028908566524418,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_2_7_m_lt090,presence,finite_presence_binary,25,-0.0052447755421521,-0.005575551535879,0.0052447755421521,-0.0064456152205129,-0.0026863955843649,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_31_90_m_090_097,presence,finite_presence_binary,25,-0.0041423347274679,-0.0037984584290714,0.0041423347274679,-0.0066625241993834,-0.003136122264955,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_31_90_m_097_103,presence,finite_presence_binary,25,-0.0108709969596773,-0.0107916045951258,0.0108709969596773,-0.0178634759894572,-0.005435159753661,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_31_90_m_103_110,presence,finite_presence_binary,25,0.0034273744757584,0.0057568012253136,0.0051627065248313,-0.0055185335307066,0.0069329337368742,21,4,0,25,0.84,0.16
