horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions
15,2026-02-11,selector_primary,B2,0.18112401794954283,4.165837945311495e-06,7.793661896145219e-11,376,6
15,2026-02-11,ensemble_top2,B0,0.17682780702902265,4.437735307774239e-06,7.641627650483416e-11,376,6
15,2026-02-11,ensemble_top2,B1,0.1771299758353825,4.144227401755916e-06,7.718254831296771e-11,376,6
15,2026-02-11,ensemble_top2,B2,0.17842142873904795,4.137669587637791e-06,7.7351449138439e-11,376,6
15,2026-02-12,selector_primary,B0,0.08432215858738708,4.084203496750867e-06,3.550412802899164e-11,384,6
15,2026-02-12,selector_primary,B1,0.09165017557639643,4.172608576363425e-06,3.8789772947350446e-11,384,6
15,2026-02-12,selector_primary,B2,0.08766071594297375,4.102576145818871e-06,3.742314668420782e-11,384,6
15,2026-02-12,ensemble_top2,B0,0.0843221583902904,4.084203470895114e-06,3.5504127853799825e-11,384,6
15,2026-02-12,ensemble_top2,B1,0.08744533075711754,4.072878535070601e-06,3.7650971647052895e-11,384,6
15,2026-02-12,ensemble_top2,B2,0.08766071457591817,4.1025761035496165e-06,3.742314634498196e-11,384,6
15,2026-02-13,selector_primary,B0,0.10003259308085394,3.924421991200505e-06,3.4656704172004884e-11,372,6
15,2026-02-13,selector_primary,B1,0.09344083024326179,3.6676726839979113e-06,3.388956492644483e-11,372,6
15,2026-02-13,selector_primary,B2,0.0953362610611177,3.7341906329983686e-06,3.339687738512394e-11,372,6
15,2026-02-13,ensemble_top2,B0,0.10003259279091707,3.924421946331818e-06,3.4656703598020366e-11,372,6
