horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions,qlike_origin
15,2025-08-11,selector_primary,B2,0.11746117260967164,1.775419991280054e-06,7.575148873884952e-12,390,6,0.11746117260967164
15,2025-08-11,ensemble_top2,B0,0.11934872265672113,1.7937900639951542e-06,7.399177719380272e-12,390,6,0.11934872265672111
15,2025-08-11,ensemble_top2,B1,0.11917614257352077,1.7277505404637653e-06,7.158322061913218e-12,390,6,0.11917614257352077
15,2025-08-11,ensemble_top2,B2,0.11758633237505361,1.7394860904751103e-06,7.340293474828027e-12,390,6,0.11758633237505363
15,2025-08-11,average_linear3,B0,0.1227319859275622,1.8148307213377577e-06,7.628982114315909e-12,390,6,0.1227319859275622
15,2025-08-11,average_linear3,B1,0.12041208676265125,1.7250961331537537e-06,7.270165409119563e-12,390,6,0.12041208676265125
15,2025-08-11,average_linear3,B2,0.12132842977337234,1.7214299240963776e-06,7.27806641782699e-12,390,6,0.12132842977337235
15,2025-08-11,average_learned4,B0,0.12047351460836124,1.802701017504073e-06,7.490900332388868e-12,390,6,0.12047351460836124
15,2025-08-11,average_learned4,B1,0.11944769071626567,1.7245357657744592e-06,7.186467201498986e-12,390,6,0.11944769071626568
15,2025-08-11,average_learned4,B2,0.11896070113977315,1.7259065531457121e-06,7.28422880678662e-12,390,6,0.11896070113977314
15,2025-08-12,seasonal_persistence,B0,0.20513521695123946,2.5014121206915658e-06,2.3216502461887125e-11,390,6,0.20513521695123949
15,2025-08-12,seasonal_persistence,B1,0.20513521695123946,2.5014121206915658e-06,2.3216502461887125e-11,390,6,0.20513521695123949
15,2025-08-12,seasonal_persistence,B2,0.20513521695123946,2.5014121206915658e-06,2.3216502461887125e-11,390,6,0.20513521695123949
15,2025-08-12,log_har,B0,0.16891256033923915,2.4768679081167923e-06,2.14292544285742e-11,390,6,0.16891256033923915
15,2025-08-12,log_har,B1,0.16888359259290167,2.381840904852458e-06,2.066299592488168e-11,390,6,0.16888359259290167
15,2025-08-12,log_har,B2,0.16514562969734667,2.3125003300641035e-06,1.9660855206680895e-11,390,6,0.16514562969734667
15,2025-08-12,log_ridge_harq,B0,0.16888985684394378,2.4767702648486388e-06,2.1428143200802354e-11,390,6,0.1688898568439438
15,2025-08-12,log_ridge_harq,B1,0.1688501164924758,2.3817993669851275e-06,2.0663076741073442e-11,390,6,0.1688501164924758
15,2025-08-12,log_ridge_harq,B2,0.16514557543603378,2.3124999699797004e-06,1.9660855083802026e-11,390,6,0.16514557543603373
15,2025-08-12,log_elastic_net,B0,0.1684152881683573,2.4683024489640892e-06,2.1359515882300002e-11,390,6,0.16841528816835727
15,2025-08-12,log_elastic_net,B1,0.168402296789442,2.380570275639295e-06,2.0659026067738776e-11,390,6,0.16840229678944202
15,2025-08-12,log_elastic_net,B2,0.16418829169280064,2.3081257687447066e-06,1.961550586559707e-11,390,6,0.1641882916928006
15,2025-08-12,lightgbm_qlike,B0,0.17200862217114146,2.3144991757324846e-06,2.0694351841676464e-11,390,6,0.17200862217114146
15,2025-08-12,lightgbm_qlike,B1,0.17217875644265432,2.3192065742856797e-06,2.1212679610451636e-11,390,6,0.1721787564426543
15,2025-08-12,lightgbm_qlike,B2,0.1673031993702332,2.2797988381132153e-06,2.0554364927550907e-11,390,6,0.1673031993702332
