window,model,fit_phase,partition,column,count_low,count_high,N_fit_records
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:54,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:55,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:56,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:57,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:58,0,214,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:59,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:6,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:60,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:61,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:62,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:63,0,192,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:64,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:65,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:66,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:67,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:68,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:69,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:7,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:70,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:71,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:72,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:73,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:8,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:9,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:33,1135,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:36,1135,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:43,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:44,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:45,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:46,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:47,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:48,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:49,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:50,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:51,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:52,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:53,4052,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:54,97,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:56,8,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:57,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:58,2015,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:59,893,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:60,114,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:61,346,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:62,1731,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:63,903,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:64,1519,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:65,1122,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:66,3573,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,presence:67,692,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:0,216,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:1,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:10,1411,1194,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:11,1528,1271,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:12,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:13,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:14,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:15,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:16,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:17,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:18,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:19,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:2,132,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:20,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:21,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:22,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:23,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:24,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:25,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:26,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:27,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:28,1454,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:29,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:3,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:30,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:31,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:32,2077,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:33,24,513,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:34,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:35,2144,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:36,1624,11,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:37,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:38,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:39,1662,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:4,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:40,249,1608,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:41,599,36,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:42,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:43,2909,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:44,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:45,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:46,744,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:47,12244,7,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:48,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:49,0,11,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:5,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:50,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:51,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:52,0,853,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:53,0,3,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:54,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:55,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:56,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:57,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:58,0,133,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:59,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:6,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:60,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:61,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:62,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:63,0,1063,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:64,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:65,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:66,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:67,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:68,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:69,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:7,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:70,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:71,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:72,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:73,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:8,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,feature:9,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:33,9522,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:36,9522,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:43,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:44,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:45,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:46,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:47,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:48,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:49,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:50,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:51,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:52,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:53,24390,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:54,548,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:56,107,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:57,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:58,17301,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:59,7725,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:60,939,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:61,6816,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:62,17863,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:63,8550,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:64,4192,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:65,9759,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:66,29414,0,36
primary,jump__log_ridge_harq__B1,inner_fit,training,presence:67,5735,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:0,0,6,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:1,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:10,42,27,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:11,39,30,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:12,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:13,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:14,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:15,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:16,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:17,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:18,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:19,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:2,18,12,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:20,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:21,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:22,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:23,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:24,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:25,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:26,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:27,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:28,16,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:29,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:3,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:30,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:31,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:32,71,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:33,0,187,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:34,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:35,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:36,407,1,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:37,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:38,0,0,36
primary,jump__log_ridge_harq__B1,refit,predicting,feature:39,16,0,36
