comparison,reason,asset,column,rows,absolute_tolerance,relative_tolerance,finite_pairs,only_left_finite,only_right_finite,both_nonfinite,nonzero_difference_pairs,outside_tolerance_pairs,maximum_absolute_difference,mean_absolute_difference,mean_signed_difference
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AAPL,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,26510,26510,180211541399.02957,3962789817.7739353,-83362765.23747616
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AAPL,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,7895,7894,180211537198.839,3962624004.857684,-83513660.92092586
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AAPL,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,7895,7894,180211537198.83868,3962617623.091997,-83507689.8634316
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AAPL,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,26359,26359,112205.0,7639.1305858834385,-7638.992003690604
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AMZN,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,25484,25477,155140191321.21442,2432643085.933096,-331618032.8946769
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AMZN,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,7954,7930,155140192757.19424,2432457853.3400784,-331732221.30496895
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AMZN,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,7954,7931,155140192757.19437,2432447429.1791234,-331725676.81936884
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",AMZN,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,25141,25141,63187.0,3741.6671382438876,-3740.7110256804554
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",META,rp4_gamma_imb_total,32579,1e-8,1e-10,32514,65,0,0,28787,28780,218223986897.8143,5876349776.761989,3016584820.253189
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",META,rp4_gamma_imb_near_spot,32579,1e-8,1e-10,32514,65,0,0,8181,8159,218223990758.852,5876030685.647685,3016368410.477109
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",META,rp4_gamma_imb_near_short,32579,1e-8,1e-10,32514,65,0,0,8181,8159,218223990758.85193,5876034641.901179,3016360808.996726
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",META,rp4_gamma_imb_signed_trades,32579,1e-8,1e-10,32514,65,0,0,28773,28773,96502.0,5672.039183121117,-5670.912960570831
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",MSFT,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,18038,18038,198004391821.47916,3991151698.3365417,1443153154.7890759
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",MSFT,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,8077,8074,198004391821.4788,3990874032.4127107,1442906056.340103
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",MSFT,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,8077,8074,198004391821.47897,3990879045.4147034,1442895628.6992724
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",MSFT,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,17815,17815,78177.0,4438.278640627403,-4437.99809318776
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",NVDA,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,32449,32447,223533054212.31125,3942229413.0886683,-969758274.0064379
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",NVDA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,7814,7804,223533060025.9393,3941847100.9653997,-969984393.3633403
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",NVDA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,7814,7804,223533060025.93988,3941843595.6883163,-969979217.3459892
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",NVDA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,32451,32451,139337.0,8714.34617868676,-8714.34617868676
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",TSLA,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,32260,32260,114990619700.65895,439446685.1076642,120362863.67997292
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",TSLA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,2313,2242,114990628975.77278,438144298.5207181,119635293.6283282
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",TSLA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,2313,2242,114990628975.77316,438127718.5297319,119650959.05274084
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",TSLA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,32223,32223,217845.0,998.1877594956175,-997.2136244810088
