window,asset,session_date,horizon,available_origins,available_empty,available_nonempty,available_unknown,executed_N_origins,executed_N_empty_origins,executed_N_nonempty_origins,executed_N_unknown_origins
primary,MSFT,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-25,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-25,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-26,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-26,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,META,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,META,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-27,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-11-27,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,AAPL,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,AMZN,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,AMZN,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,META,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,META,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,MSFT,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,MSFT,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,NVDA,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,NVDA,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,TSLA,2024-11-29,5m,29,0,29,0,29,0,29,0
primary,TSLA,2024-11-29,30m,29,0,29,0,29,0,29,0
primary,AAPL,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-02,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-02,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-03,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-03,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-04,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-04,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-05,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-05,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-06,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-06,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-09,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-09,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-10,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-10,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-11,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-11,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-12,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-12,30m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,AAPL,2024-12-13,30m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,AMZN,2024-12-13,30m,65,0,65,0,65,0,65,0
primary,META,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,META,2024-12-13,30m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,MSFT,2024-12-13,30m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,NVDA,2024-12-13,30m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-13,5m,65,0,65,0,65,0,65,0
primary,TSLA,2024-12-13,30m,65,0,65,0,65,0,65,0
