version,window,section,N_available_origins,N_excluded_from_subset_origins,N_origins,N_sessions,N_unknown_membership_origins,N_unknown_membership_sessions,N_verified_membership_origins,N_verified_nonmember_origins,contrast,coverage_status,estimate,family,qlike_reduction_percent,status,subset,N_asset_sessions
v2,primary,robustness,,,26853,419,,,,,B1_over_B0,,0.003308892887618448,lightgbm_qlike,2.1066792610542033,,asset_META,419
v2,primary,robustness,,,26853,419,,,,,B2_over_B1,,-0.0005557708319436314,lightgbm_qlike,-0.36145846548137456,,asset_META,419
v2,primary,robustness,,,26729,419,,,,,B1_over_B0,,0.0018535221956532595,log_ridge_harq,1.2689649968821992,,asset_MSFT,419
v2,primary,robustness,,,26729,419,,,,,B2_over_B1,,-0.004626836608761916,log_ridge_harq,-3.20835432576327,,asset_MSFT,419
v2,primary,robustness,,,26729,419,,,,,B1_over_B0,,0.0027085582588842884,lightgbm_qlike,1.893469364471134,,asset_MSFT,419
v2,primary,robustness,,,26729,419,,,,,B2_over_B1,,-0.0005427744560496389,lightgbm_qlike,-0.38676002917941343,,asset_MSFT,419
v2,primary,robustness,,,26764,419,,,,,B1_over_B0,,0.001260248895838893,log_ridge_harq,0.8453076856679068,,asset_NVDA,419
v2,primary,robustness,,,26764,419,,,,,B2_over_B1,,-0.05387605956444686,log_ridge_harq,-36.44525936290602,,asset_NVDA,419
v2,primary,robustness,,,26764,419,,,,,B1_over_B0,,0.002976641955675786,lightgbm_qlike,1.9750344016313737,,asset_NVDA,419
v2,primary,robustness,,,26764,419,,,,,B2_over_B1,,0.0013968698645150585,lightgbm_qlike,0.9455125886333423,,asset_NVDA,419
v2,primary,robustness,,,26845,419,,,,,B1_over_B0,,0.002121064091526456,log_ridge_harq,1.587756324699963,,asset_TSLA,419
v2,primary,robustness,,,26845,419,,,,,B2_over_B1,,-0.008998158267203394,log_ridge_harq,-6.844386942417589,,asset_TSLA,419
v2,primary,robustness,,,26845,419,,,,,B1_over_B0,,0.00460388372009813,lightgbm_qlike,3.2792585074627087,,asset_TSLA,419
v2,primary,robustness,,,26845,419,,,,,B2_over_B1,,-0.0009782099502636604,lightgbm_qlike,-0.7203835159035538,,asset_TSLA,419
v2,primary,robustness,,,11700,30,,,,,B1_over_B0,,-0.0007656987420133006,log_ridge_harq,-0.6147070379069257,,last30sessions,180
v2,primary,robustness,,,11700,30,,,,,B2_over_B1,,-0.0002749610572712326,log_ridge_harq,-0.2193915891665734,,last30sessions,180
v2,primary,robustness,,,11700,30,,,,,B1_over_B0,,0.0004087727376816813,lightgbm_qlike,0.33377554408782206,,last30sessions,180
v2,primary,robustness,,,11700,30,,,,,B2_over_B1,,-0.00021383163056062497,lightgbm_qlike,-0.1751848436307269,,last30sessions,180
v2,primary,robustness,,,53528,139,,,,,B1_over_B0,,0.005708163027259269,log_ridge_harq,3.736079974243508,,chronological_block_1,834
v2,primary,robustness,,,53528,139,,,,,B2_over_B1,,-0.009757583996563377,log_ridge_harq,-6.6343526308791825,,chronological_block_1,834
v2,primary,robustness,,,53528,139,,,,,B1_over_B0,,0.003400466174187337,lightgbm_qlike,2.1355737386306437,,chronological_block_1,834
v2,primary,robustness,,,53528,139,,,,,B2_over_B1,,-0.0012270462337918343,lightgbm_qlike,-0.7874304137425381,,chronological_block_1,834
v2,primary,robustness,,,107304,280,,,,,B1_over_B0,,0.0009490226214623375,log_ridge_harq,0.6559305638414158,,leave_block_1_out,1680
v2,primary,robustness,,,107304,280,,,,,B2_over_B1,,-0.014042362448635427,log_ridge_harq,-9.769661929021769,,leave_block_1_out,1680
v2,primary,robustness,,,107304,280,,,,,B1_over_B0,,0.002984488554019915,lightgbm_qlike,2.0668773346550346,,leave_block_1_out,1680
v2,primary,robustness,,,107304,280,,,,,B2_over_B1,,0.00047204791121912973,lightgbm_qlike,0.33381147587928206,,leave_block_1_out,1680
v2,primary,robustness,,,52674,139,,,,,B1_over_B0,,0.00201191438395283,log_ridge_harq,1.4029428429364126,,chronological_block_2,834
v2,primary,robustness,,,52674,139,,,,,B2_over_B1,,-0.02955332233190638,log_ridge_harq,-20.901277928046657,,chronological_block_2,834
v2,primary,robustness,,,52674,139,,,,,B1_over_B0,,0.0038847409294348245,lightgbm_qlike,2.756916838243209,,chronological_block_2,834
