session_date,forecast__log_ridge_harq__B0,loss__log_ridge_harq__B0,forecast__log_ridge_harq__B1,loss__log_ridge_harq__B1,forecast__log_ridge_harq__B2,loss__log_ridge_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2025-11-06,5.2971528278206885e-06,0.2798603588711906,5.426554555281786e-06,0.2790935681771733,5.53149161282648e-06,0.2792515693068279,5.106426175766835e-06,0.2927808009261137,5.013273858385937e-06,0.29144169496390826,5.005333374236185e-06,0.2937317440326745,6.036026378979975e-06
2025-11-07,5.13394119436532e-06,0.2628383979482884,5.123930121706338e-06,0.2647733604615227,5.286773147340603e-06,0.2624187814552336,4.341005775614336e-06,0.2655947054415181,4.202131357500525e-06,0.2656508283119593,4.265978290142293e-06,0.26223703275886057,4.586242525624867e-06
2025-11-10,2.787787496695895e-06,0.32286262660233694,2.6782552057242656e-06,0.31910628475378244,2.6765722964269815e-06,0.31678483962223564,2.552543176861591e-06,0.32038613264533544,2.5382740974141524e-06,0.3257764365673455,2.528749214021932e-06,0.3229234000008481,2.566342684149397e-06
2025-11-11,1.938477052690684e-06,0.27336961332398224,1.921582034650704e-06,0.2747271100373176,1.9574517870401176e-06,0.27739653168431627,1.878229703474965e-06,0.27018205198721124,1.8444896879193766e-06,0.26979727207242776,1.8581521838288865e-06,0.2682925918839916,1.670098047673939e-06
2025-11-12,2.4654895538227515e-06,0.3248648734631699,2.521858627751125e-06,0.32009289810629293,2.576280741995971e-06,0.3163761520771453,2.3347210602358665e-06,0.33707453478358157,2.311939773706602e-06,0.3307381082666023,2.387094522059696e-06,0.31879699373297815,2.5978470881425743e-06
2025-11-13,4.18344502865065e-06,0.24571212795503797,4.235813325834547e-06,0.24518903743730594,4.377566779562996e-06,0.24450653341797216,3.926356882891453e-06,0.25215351552737797,3.948220502226088e-06,0.2520216704836108,4.025317155940734e-06,0.2467494499691043,4.464746099407243e-06
2025-11-14,4.741136815749553e-06,0.2724337960020704,4.8314620989758164e-06,0.26792256441892415,4.985572420344409e-06,0.2715137496962676,4.284402421539918e-06,0.26376692018418074,4.152101832412841e-06,0.26608963423037096,4.094011703224435e-06,0.2651174113484629,4.750568744975176e-06
2025-11-17,4.0447589685310465e-06,0.32377863010687197,3.955224488799279e-06,0.3218523115498673,3.985035638099e-06,0.31822049129711716,3.6823759340965264e-06,0.3296329851108769,3.6290505359801335e-06,0.33076443585053755,3.6056918673678875e-06,0.32660869242842244,3.71571127041101e-06
2025-11-18,6.3726754997752115e-06,0.2186454892338323,6.437154003485084e-06,0.21981459956556773,6.543055844024741e-06,0.21766327964682097,5.640195253535088e-06,0.24148945807480424,5.530186162628924e-06,0.24543177252663453,5.43386447107651e-06,0.23994991278072184,6.25848666122679e-06
2025-11-19,4.004409736237054e-06,0.29855014895444737,4.1356369357574945e-06,0.30110805546718905,4.282247463760663e-06,0.3002683436610673,3.994532265107453e-06,0.29681876296638354,3.872893684654842e-06,0.2937011600954644,3.900417738456239e-06,0.29270416629918367,3.6370429811000173e-06
2025-11-20,8.815404589349078e-06,0.27040412591602037,9.156036782125448e-06,0.267659489671995,9.191763814066678e-06,0.2682834910939753,8.476032547243065e-06,0.2846940510188962,8.312424554008016e-06,0.28016394591046495,7.922854994282518e-06,0.286551350640521,9.736986816861182e-06
2025-11-21,8.13596081966613e-06,0.37432132873466933,8.333328170964908e-06,0.3800903615496238,8.661792492369922e-06,0.3777325864611771,7.523311136089391e-06,0.38523453777157396,7.150500051276609e-06,0.38802809128627164,7.114038134741385e-06,0.3865893570733439,7.637676177855068e-06
2025-11-24,3.3946636315190052e-06,0.2865565705284531,3.202556179153239e-06,0.27564855669274213,3.3442461420510333e-06,0.27939128240722627,2.964789172169052e-06,0.26093673008167245,2.8188158505291077e-06,0.2505227319142936,2.8095050767496662e-06,0.2482740361946695,2.3889628408831528e-06
2025-11-25,3.577929073681185e-06,0.3471519109397933,3.4642068687767027e-06,0.34241576625819276,3.6594629598661796e-06,0.3526695584767408,3.120918380706056e-06,0.32444253221351255,2.915480431261509e-06,0.30782797598146056,2.955043076677199e-06,0.30883682435996873,2.6102360500182423e-06
2025-11-26,2.034969359213158e-06,0.39812467207071833,2.0221393958796576e-06,0.3936073285928616,2.0584006942788875e-06,0.395089039859099,1.983553156502108e-06,0.38940598891119144,1.8103000643545319e-06,0.3815963815739081,1.8432450996042725e-06,0.38042248030181874,1.5543297205122192e-06
2025-11-28,1.8143947740981784e-06,0.2751262835322608,1.751332724010546e-06,0.26799021860680455,1.876392011044363e-06,0.28151539336584097,1.5686059046555782e-06,0.25451897664124523,1.5395659626360813e-06,0.25255495515830745,1.5774861229882884e-06,0.2518462360951436,1.3927828432474907e-06
2025-12-01,1.7745094343676174e-06,0.2982633162459292,1.7062550817357797e-06,0.293750817959946,1.7446025519806838e-06,0.2988898827767728,1.559803684779289e-06,0.286323239316673,1.563118353166606e-06,0.2899152795461546,1.5309037838540528e-06,0.2860149294876546,1.40564273724479e-06
2025-12-02,2.213554644489347e-06,0.345906617426282,2.180918813608864e-06,0.34659981989246075,2.246521505770265e-06,0.34155797801233323,2.0728193665618188e-06,0.3313659393823428,2.0621033408499895e-06,0.3303062830252168,2.0491382003016772e-06,0.3268257050440152,2.119461529401672e-06
